"Method","Time (ms)","Own Time (ms)"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseSubEnv(Object, String) ResolutionInterpreter.java","13757","10"
"mb.scopegraph.resolution.RSubEnv.match(RExp$Cases) RSubEnv.java","13757","9"
"org.metaborg.util.future.AggregateFuture$$Lambda$946.accept(Object)","13565","4"
"org.metaborg.util.future.AggregateFuture.lambda$9(ArrayList, Function1, Object) AggregateFuture.java","13561","12"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.lambda$4(ScopePath, Object, State, Object) ResolutionInterpreter.java","13432","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1$$Lambda$944.apply(Object)","13432","10"
"mb.p_raffrayi.nameresolution.StateMachineQuery$1.externalEnv(ScopePath, State) StateMachineQuery.java","13270","0"
"mb.scopegraph.resolution.RResolve.match(RExp$Cases) RResolve.java","12849","16"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseResolve() ResolutionInterpreter.java","12832","7"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseResolve() ResolutionInterpreter.java","12824","15"
"org.metaborg.util.future.AggregateFuture$$Lambda$473.apply(Object, Object)","12820","26"
"org.metaborg.util.future.AggregateFuture.lambda$1(int, AggregateFuture$SC, Throwable) AggregateFuture.java","12793","0"
"org.metaborg.util.future.AggregateFuture.whenComplete(int, AggregateFuture$SC, Throwable) AggregateFuture.java","12793","79"
"org.metaborg.util.future.AggregateFuture.fireIfComplete() AggregateFuture.java","12613","59"
"java.util.Optional.map(Function) Optional.java","11063","32"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1$$Lambda$994.apply(Object)","10932","16"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.lambda$0(ScopePath, ICancel, Optional) ResolutionInterpreter.java","10915","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.lambda$1(ScopePath, ICancel, Object) ResolutionInterpreter.java","10887","25"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1$$Lambda$997.apply(Object)","10887","0"
"mb.p_raffrayi.impl.AbstractUnit$1.dataWf(Object, ICancel) AbstractUnit.java","10815","28"
"mb.statix.constraints.IResolveQuery.matchOrThrow(IConstraint$CheckedCases) IResolveQuery.java","10795","6"
"mb.p_raffrayi.nameresolution.StateMachineQuery$1.dataWf(Object, ICancel) StateMachineQuery.java","10791","0"
"mb.statix.concurrent.StatixSolver$1.caseResolveQuery(IResolveQuery) StatixSolver.java","10789","84"
"mb.statix.concurrent.StatixSolver$1.caseResolveQuery(IResolveQuery) StatixSolver.java","10776","0"
"mb.p_raffrayi.impl.AbstractUnit.doQuery(IActorRef, IActorRef, boolean, ScopePath, IQuery, DataWf, DataLeq, DataWf, DataLeq) AbstractUnit.java","10014","4"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.apply() PersistentUnifier.java","9858","19"
"mb.statix.concurrent.StatixSolver$1.caseEqual(CEqual) StatixSolver.java","8680","58"
"mb.statix.concurrent.StatixSolver$1.caseEqual(CEqual) StatixSolver.java","8680","0"
"mb.statix.constraints.CEqual.matchOrThrow(IConstraint$CheckedCases) CEqual.java","8680","0"
"mb.statix.concurrent.StatixSolver.absorbDelays(Function0) StatixSolver.java","8260","19"
"mb.statix.concurrent.StatixSolver$ConstraintDataWFInternal.wf(ITerm, ITypeCheckerContext, ICancel) StatixSolver.java","7933","0"
"mb.statix.concurrent.StatixSolver$ConstraintDataWFInternal.wf(Object, ITypeCheckerContext, ICancel) StatixSolver.java","7933","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.unify(ITerm, ITerm, Predicate1) PersistentUnifier.java","7149","6"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1$$Lambda$967.apply(Object)","7114","9"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.lambda$13(ScopePath, RExp, ResolutionInterpreter$Store, ICancel, Tuple2) ResolutionInterpreter.java","7105","15"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.unify(ITerm, ITerm, Predicate1) PersistentUniDisunifier.java","6978","0"
