"Method","Time (ms)","Own Time (ms)"
"mb.p_raffrayi.impl.AbstractUnit$1.lambda$12(AbstractUnit$RecordingTypeCheckerContext, Boolean) AbstractUnit.java","369","0"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$1012.apply(Object)","369","0"
"io.usethesource.capsule.core.PersistentTrieMap$MapEntryIterator.<init>(PersistentTrieMap$AbstractMapNode) PersistentTrieMap.java","369","12"
"com.google.common.collect.HashMultiset.count(Object) HashMultiset.java","369","213"
"org.metaborg.util.future.CompletableFuture.thenCompose(CheckedFunction1) CompletableFuture.java","369","58"
"mb.statix.solver.store.BaseConstraintStore.delay(IConstraint, Delay) BaseConstraintStore.java","361","53"
"java.lang.ClassLoader.loadClass(String) ClassLoader.java","359","402"
"mb.nabl2.terms.matching.TermMatch$M.lambda$39(Function3, String, TermMatch$IMatcher, IUnifier, TermMatch$IMatcher, IApplTerm) TermMatch.java","357","34"
"mb.nabl2.terms.build.TermBuild$B.newVar(String, String, IAttachments) TermBuild.java","353","17"
"mb.nabl2.terms.build.AAppl4Term.match(ITerm$Cases) AAppl4Term.java","352","0"
"mb.statix.spec.ARule.paramVars() ARule.java","351","7"
"mb.statix.solver.query.QueryFilter.apply(ISubstitution$Immutable) QueryFilter.java","348","0"
"io.usethesource.capsule.core.PersistentTrieSet.__removeAll(Set) PersistentTrieSet.java","348","27"
"io.usethesource.capsule.core.PersistentTrieMap.entryIterator() PersistentTrieMap.java","341","0"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.getKey(int) PersistentTrieMap.java","334","289"
"mb.nabl2.util.collections.ConcurrentWeakCache.getOrPut(Object, Object) ConcurrentWeakCache.java","334","78"
"mb.statix.constraints.CCompiledQuery.unsafeApply(ISubstitution$Immutable) CCompiledQuery.java","329","8"
"mb.nabl2.terms.build.AConsTerm.match(IListTerm$Cases) AConsTerm.java","328","12"
"java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java","328","328"
"org.metaborg.util.collection.MultiSet.count(Object) MultiSet.java","325","7"
"org.metaborg.util.future.AggregateFuture.<init>(Function1, List) AggregateFuture.java","323","0"
"io.usethesource.capsule.core.PersistentTrieSet.__removeAllEquivalent(Set, EqualityComparator) PersistentTrieSet.java","320","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__removeAllEquivalent(Set, EqualityComparator) PersistentTrieSet.java","320","2"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.removeAll(Iterable) PersistentSubstitution.java","320","40"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.freeze() PersistentTrieMap.java","318","236"
"mb.statix.concurrent.StatixSolver$$Lambda$1059.apply(Object)","316","6"
"com.google.common.collect.ImmutableSet$Builder.build() ImmutableSet.java","316","316"
"mb.statix.concurrent.StatixSolver.lambda$22(CriticalEdge) StatixSolver.java","313","0"
"mb.statix.concurrent.StatixSolver$$Lambda$632.apply()","313","0"
"mb.statix.spec.ARule.unsafeApply(ISubstitution$Immutable) ARule.java","313","28"
"com.google.common.collect.Sets$SetView.immutableCopy() Sets.java","311","155"
"mb.statix.concurrent.StatixSolver.lambda$10(IState$Immutable, IDebugContext, IConstraint, SolverResult) StatixSolver.java","310","0"
"mb.nabl2.terms.build.AbstractApplTerm.matchOrThrow(ITerm$CheckedCases) AbstractApplTerm.java","309","0"
"mb.statix.concurrent.AbstractTypeChecker.snapshot() AbstractTypeChecker.java","308","0"
"mb.statix.concurrent.AbstractTypeChecker.snapshot() AbstractTypeChecker.java","308","0"
"mb.statix.concurrent.StatixSolver.snapshot() StatixSolver.java","308","0"
"com.google.common.collect.SingletonImmutableList.iterator() SingletonImmutableList.java","308","253"
"mb.p_raffrayi.impl.AbstractUnit.doCloseLabel(IActorRef, Object, EdgeOrData) AbstractUnit.java","306","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter.mergeSubEnvironments(Iterable) ResolutionInterpreter.java","304","99"
"com.google.common.collect.ImmutableSet$Builder.addAll(Iterable) ImmutableSet.java","304","283"
"mb.nabl2.terms.matching.NilPattern.matchTerm(ITerm, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) NilPattern.java","302","4"
"com.google.common.collect.AbstractIndexedListIterator.next() AbstractIndexedListIterator.java","302","302"
"mb.nabl2.terms.matching.Pattern.asTerm(Function1) Pattern.java","301","0"
"mb.statix.concurrent.StatixSolver$1.caseTermProperty(CAstProperty) StatixSolver.java","300","26"
"mb.statix.constraints.CAstProperty.matchOrThrow(IConstraint$CheckedCases) CAstProperty.java","300","0"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$715.match(ITerm, IUnifier)","299","3"
"mb.nabl2.terms.build.ATermVar.visitVars(Action1) ATermVar.java","299","9"
"mb.statix.concurrent.StatixLibrary.substituteScopes(ITerm, Map) StatixLibrary.java","299","4"
"mb.statix.constraints.CConj.match(IConstraint$Cases) CConj.java","298","10"
"mb.nabl2.terms.matching.TermMatch$M.lambda$84(Function1, ITerm, IUnifier) TermMatch.java","296","4"
"org.metaborg.util.collection.MultiSet$Transient.add(Object) MultiSet.java","295","0"
"mb.nabl2.terms.matching.Transform$T.lambda$0(PartialFunction1, ITerm) Transform.java","295","24"
"mb.nabl2.terms.matching.Transform$T$$Lambda$571.apply(Object)","295","0"
"mb.statix.constraints.CExists.freeVars() CExists.java","295","23"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseMerge(List) ResolutionInterpreter.java","294","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseMerge(List) ResolutionInterpreter.java","294","0"
"mb.scopegraph.resolution.RMerge.match(RExp$Cases) RMerge.java","294","0"
"mb.p_raffrayi.impl.AbstractUnit.isScopeInitialized(Object) AbstractUnit.java","294","0"
"mb.statix.concurrent.StatixSolver$1.caseTermProperty(CAstProperty) StatixSolver.java","294","0"
"com.google.common.collect.ImmutableList.forEach(Consumer) ImmutableList.java","292","20"
"mb.statix.constraints.CEqual.apply(ISubstitution$Immutable) CEqual.java","291","7"
"mb.statix.concurrent.StatixSolver.closeGroundEdge(CriticalEdge) StatixSolver.java","291","0"
"org.metaborg.util.tuple.Tuple2.equals(Object) Tuple2.java","290","208"
"org.metaborg.util.log.AbstractLogger.debug(String, Object[]) AbstractLogger.java","289","4"
"mb.p_raffrayi.impl.AbstractUnit$RecordingTypeCheckerContext.query(Object, IQuery, DataWf, DataLeq, DataWf, DataLeq) AbstractUnit.java","289","0"
"mb.p_raffrayi.impl.AbstractUnit$RecordingTypeCheckerContext.query(Object, StateMachine, DataWf, DataLeq, DataWf, DataLeq) AbstractUnit.java","289","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractSetIterator.searchNextValueNode() PersistentTrieSet.java","289","266"
"mb.p_raffrayi.impl.AbstractUnit.assertOwnOrSharedScope(Object) AbstractUnit.java","289","16"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.removeAll(Iterable) PersistentUniDisunifier.java","288","0"
"mb.p_raffrayi.actors.deadlock.ChandyMisraHaas.query(Object, int, Object) ChandyMisraHaas.java","285","3"
"mb.p_raffrayi.impl.AbstractUnit._deadlockQuery(IProcess, int, IProcess) AbstractUnit.java","285","0"
"org.metaborg.util.log.MetaborgLogger.debugEnabled() MetaborgLogger.java","284","76"
"mb.statix.constraints.CEqual.apply(ISubstitution$Immutable) CEqual.java","284","17"
"mb.statix.constraints.CEqual.match(IConstraint$Cases) CEqual.java","283","14"
"mb.nabl2.terms.substitution.FreshVars.notFresh(ITermVar) FreshVars.java","279","31"
"mb.p_raffrayi.impl.TypeCheckerUnit.addEdge(Object, Object, Object) TypeCheckerUnit.java","279","0"
"mb.nabl2.terms.build.ITermBuild.newVar(String, String) ITermBuild.java","277","0"
"mb.p_raffrayi.impl.AbstractUnit.doAddEdge(IActorRef, Object, Object, Object) AbstractUnit.java","274","0"
"com.google.common.collect.ImmutableSet$Builder.add(Object) ImmutableSet.java","273","235"
"mb.statix.concurrent.StatixSolver.lambda$2(ITermVar) StatixSolver.java","273","37"
"mb.statix.concurrent.StatixSolver$$Lambda$758.apply(Object)","273","0"
"java.lang.Object.hashCode() Object.java (native)","270","270"
"mb.p_raffrayi.impl.AbstractUnit.suspended() AbstractUnit.java","270","0"
"mb.statix.constraints.CConj.doVisitFreeVars(Action1) CConj.java","270","10"
"mb.statix.constraints.Constraints$1.caseEqual(CEqual) Constraints.java","268","0"
"mb.statix.spec.PreSolvedConstraint.lambda$13(IUniDisunifier$Transient, Predicate1, Collection, IConstraint, Set, ICompleteness$Transient, Map, CEqual) PreSolvedConstraint.java","268","0"
"mb.statix.spec.PreSolvedConstraint$$Lambda$849.apply(Object)","268","0"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier$Transient.unify(ITerm, ITerm, Predicate1) BaseUniDisunifier.java","263","13"
"mb.statix.spec.RuleUtil.lambda$9(FreshVars, Optional) RuleUtil.java","263","0"
"mb.statix.spec.RuleUtil$$Lambda$866.apply(Object)","263","0"
"mb.p_raffrayi.impl.AbstractUnit$1.lambda$8(Object, Object, Unit) AbstractUnit.java","263","6"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$938.apply(Object)","263","0"
"io.usethesource.capsule.core.PersistentTrieMap$AbstractMapNode.isAllowedToEdit(AtomicReference, AtomicReference) PersistentTrieMap.java","258","167"
"java.util.ArrayList.<init>() ArrayList.java","257","241"
"mb.scopegraph.oopsla20.reference.ScopeGraph.getData(Object) ScopeGraph.java","256","15"
"java.util.AbstractCollection.isEmpty() AbstractCollection.java","256","241"
"java.util.Map.putIfAbsent(Object, Object) Map.java","256","100"
"mb.statix.constraints.CConj.visitFreeVars(Action1) CConj.java","255","0"
"java.util.HashMap.containsKey(Object) HashMap.java","255","226"
"com.google.common.collect.AbstractIterator.hasNext() AbstractIterator.java","251","167"
"mb.statix.constraints.CExists.doVisitFreeVars(Action1) CExists.java","251","0"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$712.apply(Object)","251","51"
"mb.p_raffrayi.impl.TypeCheckerUnit.setDatum(Object, Object) TypeCheckerUnit.java","250","0"
"mb.statix.constraints.CAstId.matchOrThrow(IConstraint$CheckedCases) CAstId.java","250","12"
"io.usethesource.capsule.core.PersistentTrieMap$AbstractMapIterator.hasNext() PersistentTrieMap.java","249","65"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$RemoveAll.<init>(PersistentUnifier$Immutable, Iterable) PersistentUnifier.java","248","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.<init>(PersistentUnifier$Immutable, Iterable, Predicate1) PersistentUnifier.java","247","0"
"mb.p_raffrayi.impl.AbstractUnit.tryFinish() AbstractUnit.java","247","0"
"mb.statix.solver.query.QueryMin.hashCode() QueryMin.java","246","24"
"mb.nabl2.terms.build.ApplTerm.<init>(String, Iterable) ApplTerm.java","246","17"
"mb.nabl2.terms.build.ApplTerm.of(String, Iterable) ApplTerm.java","246","0"
"java.util.concurrent.ConcurrentLinkedDeque.add(Object) ConcurrentLinkedDeque.java","246","246"
"io.usethesource.capsule.core.PersistentTrieSet$SetKeyIterator.next() PersistentTrieSet.java","245","160"
"com.google.common.collect.HashMultiset.contains(Object) HashMultiset.java","245","103"
"mb.nabl2.terms.matching.Transform$T.lambda$1(PartialFunction1, ITerm) Transform.java","244","0"
"mb.nabl2.terms.matching.Transform$T$$Lambda$572.get()","244","0"
"mb.statix.solver.completeness.Completeness$Transient$$Lambda$593.accept(Object)","240","28"
"mb.p_raffrayi.impl.AbstractUnit.doSetDatum(Object, Object) AbstractUnit.java","240","0"
"io.usethesource.capsule.factory.DefaultSetFactory.unchecked(Callable) DefaultSetFactory.java","238","0"
"mb.statix.concurrent.StatixSolver$1.caseTermId(CAstId) StatixSolver.java","237","0"
"mb.statix.concurrent.StatixSolver$1.caseTermId(CAstId) StatixSolver.java","237","0"
"mb.nabl2.terms.matching.Transform$T.lambda$2(PartialFunction1, IApplTerm) Transform.java","237","0"
"mb.nabl2.terms.matching.Transform$T$$Lambda$573.apply(Object)","237","0"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.getNode(int) PersistentTrieSet.java","236","236"
"org.metaborg.util.collection.MultiSetMap$Transient.remove(Object, Object, int) MultiSetMap.java","234","0"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.nodeOf(AtomicReference, int, int, Object[]) PersistentTrieSet.java","234","121"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.of(Map) PersistentSubstitution.java","233","0"
"mb.nabl2.terms.substitution.Renaming.asSubstitution() Renaming.java","233","0"
"mb.p_raffrayi.impl.AbstractUnit.granted(IWaitFor, IActorRef) AbstractUnit.java","233","5"
"io.usethesource.capsule.core.PersistentTrieMap$3$1.next() PersistentTrieMap.java","233","5"
"com.google.common.collect.ImmutableSet.copyOf(Iterable) ImmutableSet.java","232","227"
"mb.nabl2.terms.Terms$3.caseAppl(IApplTerm) Terms.java","232","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$0(ITerm, IApplTerm) PersistentUnifier.java","232","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$645.apply(Object)","232","0"
"mb.statix.spec.RuleUtil.lambda$10(FreshVars) RuleUtil.java","232","0"
"mb.statix.spec.RuleUtil$$Lambda$870.get()","232","0"
"mb.statix.solver.query.QueryFilter.unsafeApply(ISubstitution$Immutable) QueryFilter.java","230","0"
"mb.statix.scopegraph.AScope.hashCode() AScope.java","230","20"
"mb.p_raffrayi.impl.UnitResult$Builder.addAllScopes(Iterable) UnitResult.java","229","0"
"mb.p_raffrayi.impl.UnitResult$Builder.scopes(Iterable) UnitResult.java","229","0"
"mb.nabl2.terms.Terms.cases() Terms.java","229","34"
"mb.p_raffrayi.impl.AbstractUnit.granted(IWaitFor, IProcess) AbstractUnit.java","228","0"
"mb.p_raffrayi.impl.WaitForGraph.granted(Object, Object) WaitForGraph.java","228","5"
"io.usethesource.capsule.core.PersistentTrieMap$3$1.next() PersistentTrieMap.java","228","109"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.removeTerm(ITermVar) PersistentUnifier.java","226","17"
"mb.statix.concurrent.StatixSolver$1.lambda$13(IResolutionPath) StatixSolver.java","226","6"
"mb.statix.concurrent.StatixSolver$1$$Lambda$1047.apply(Object)","226","0"
"mb.scopegraph.oopsla20.reference.EdgeOrData$Edge.match(Function0, Function1) EdgeOrData.java","225","4"
"mb.statix.concurrent.StatixSolver$$Lambda$1096.apply(Object, Object)","224","6"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.nodeArity() PersistentTrieMap.java","224","219"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.retainAll(Iterable) PersistentSubstitution.java","224","0"
"mb.statix.constraints.CUser.doVisitFreeVars(Action1) CUser.java","224","0"
"mb.nabl2.terms.matching.TermMatch$IMatcher.lambda$0(Function, ITerm, IUnifier) TermMatch.java","222","0"
"mb.nabl2.terms.matching.TermMatch$IMatcher$$Lambda$38.match(ITerm, IUnifier)","222","0"
"mb.statix.concurrent.StatixLibrary$$Lambda$570.apply(Object)","222","0"
"mb.p_raffrayi.nameresolution.tracing.ExtQuerySet.builder() ExtQuerySet.java","220","0"
"mb.p_raffrayi.nameresolution.tracing.ExtQuerySet$Builder.<init>(ExtQuerySet$Builder) ExtQuerySet.java","220","10"
"mb.nabl2.terms.matching.Transform$T$$Lambda$582.apply(Object)","220","0"
"mb.p_raffrayi.impl.AbstractUnit.doFreshScope(String, Iterable, boolean, boolean) AbstractUnit.java","220","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.freshScope(String, Iterable, boolean, boolean) TypeCheckerUnit.java","220","0"
"io.usethesource.capsule.core.PersistentTrieMap.containsKey(Object) PersistentTrieMap.java","219","0"
"mb.statix.spoofax.StatixTerms.pathToTerm(IResolutionPath, Set) StatixTerms.java","219","13"
"mb.nabl2.terms.substitution.Renaming.builder() Renaming.java","219","0"
"mb.nabl2.terms.substitution.Renaming$Builder.<init>() Renaming.java","219","38"
"mb.nabl2.terms.substitution.Renaming$Builder.<init>(Renaming$Builder) Renaming.java","219","0"
"mb.nabl2.terms.build.AAppl2Term.getArgs() AAppl2Term.java","218","21"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.diff(ITerm, ITerm) PersistentUniDisunifier.java","218","3"
"mb.p_raffrayi.impl.AbstractUnit$RecordingTypeCheckerContext.<init>(AbstractUnit, IActorRef) AbstractUnit.java","217","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.compose(ITermVar, ITerm) PersistentSubstitution.java","217","0"
"mb.p_raffrayi.impl.AbstractUnit.isWaitingFor(IWaitFor) AbstractUnit.java","216","40"
"io.usethesource.capsule.core.PersistentTrieMap.containsKeyEquivalent(Object, EqualityComparator) PersistentTrieMap.java","215","31"
"mb.p_raffrayi.impl.TypeCheckerUnit.closeEdge(Object, Object) TypeCheckerUnit.java","214","0"
"mb.statix.concurrent.StatixSolver.lambda$25(Scope, ITerm) StatixSolver.java","214","0"
"mb.statix.concurrent.StatixSolver$$Lambda$672.apply(Object)","214","0"
"mb.nabl2.terms.build.AAppl0Term.matchOrThrow(ITerm$CheckedCases) AAppl0Term.java","214","0"
"java.util.stream.ReferencePipeline.anyMatch(Predicate) ReferencePipeline.java","214","85"
"mb.statix.concurrent.StatixSolver.isRigid(ITermVar, IState) StatixSolver.java","213","14"
"mb.statix.concurrent.StatixSolver$1.lambda$0(ITermVar) StatixSolver.java","213","0"
"mb.statix.concurrent.StatixSolver$1$$Lambda$643.test(Object)","213","0"
"io.usethesource.capsule.core.PersistentTrieMap$MapKeyIterator.<init>(PersistentTrieMap$AbstractMapNode) PersistentTrieMap.java","212","0"
"mb.statix.solver.completeness.Completeness$Transient.lambda$3(Map$Entry, Set$Transient, ITerm) Completeness.java","212","11"
"mb.statix.constraints.CUser.lambda$1(Action1, ITerm) CUser.java","211","13"
"mb.statix.constraints.CUser$$Lambda$560.accept(Object)","211","0"
"mb.statix.solver.store.BaseConstraintStore.remove() BaseConstraintStore.java","211","19"
"mb.p_raffrayi.nameresolution.tracing.ExtQuerySet$Builder.<init>() ExtQuerySet.java","210","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1$$Lambda$948.apply(Object)","209","10"
"ch.qos.logback.classic.Logger.isDebugEnabled() Logger.java","208","158"
"mb.nabl2.terms.substitution.FreshVars.fix() FreshVars.java","207","70"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.<init>(PersistentUnifier$Immutable, ITerm, ITerm, Predicate1) PersistentUnifier.java","206","44"
"mb.p_raffrayi.impl.AbstractUnit.doPrepareScope(Object, Iterable, boolean, boolean) AbstractUnit.java","205","0"
"mb.statix.constraints.CUser.visitFreeVars(Action1) CUser.java","204","0"
"mb.nabl2.terms.unification.ud.IUniDisunifier$Transient.unify(Iterable) IUniDisunifier.java","203","6"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.dataIndex(int) PersistentTrieMap.java","202","167"
"mb.nabl2.terms.build.AAppl3Term.matchOrThrow(ITerm$CheckedCases) AAppl3Term.java","201","32"
"mb.nabl2.terms.matching.TermMatch$M.lambda$83(Function1, IListTerm) TermMatch.java","200","8"
"java.util.AbstractCollection.addAll(Collection) AbstractCollection.java","198","191"
"java.util.stream.ReferencePipeline.forEach(Consumer) ReferencePipeline.java","198","84"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier$Transient.unify(Iterable, Predicate1) BaseUniDisunifier.java","197","0"
"mb.nabl2.terms.ListTerms$1.caseCons(IConsTerm) ListTerms.java","194","0"
"mb.nabl2.terms.Terms$CaseBuilder.<init>() Terms.java","194","143"
"mb.statix.concurrent.util.VarIndexedCollection.put(Object, Iterable, IUnifier) VarIndexedCollection.java","193","0"
"mb.statix.solver.persistent.SolverResult.<init>(Spec, IState$Immutable, SolverTracer$IResult, Map, Map, Map, Iterable, Iterable, ICompleteness$Immutable) SolverResult.java","193","0"
"mb.statix.solver.persistent.SolverResult.of(Spec, IState$Immutable, SolverTracer$IResult, Map, Map, Map, Iterable, Iterable, ICompleteness$Immutable) SolverResult.java","193","0"
"mb.nabl2.terms.matching.ConsPattern.matchTerm(ITerm, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) ConsPattern.java","193","12"
"mb.statix.solver.completeness.Completeness$Transient.addAll(ICompleteness$Immutable, IUnifier) Completeness.java","191","0"
"mb.scopegraph.relations.impl.Relation$Immutable.hashCode() Relation.java","191","11"
"mb.nabl2.terms.unification.ud.Diseq.<init>(Set$Immutable, IUnifier$Immutable) Diseq.java","191","29"
"mb.nabl2.terms.build.AConsTerm.getVars() AConsTerm.java","190","0"
"org.metaborg.util.iterators.Iterables2.stream(Iterable) Iterables2.java","189","0"
"mb.scopegraph.oopsla20.terms.newPath.ScopePath.step(Object, Object) ScopePath.java","188","19"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.melt() PersistentSubstitution.java","188","19"
"mb.scopegraph.oopsla20.reference.ScopeGraph$Transient.addEdge(Object, Object, Object) ScopeGraph.java","186","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.keyIterator() PersistentTrieMap.java","186","7"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$1.iterator() PersistentTrieMap.java","186","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.retainAll(Iterable) PersistentSubstitution.java","185","6"
"io.usethesource.capsule.core.PersistentTrieMap$AbstractMapIterator.searchNextValueNode() PersistentTrieMap.java","184","119"
"mb.nabl2.terms.unification.u.BaseUnifier$$Lambda$45.get$Lambda(BaseUnifier)","184","73"
"com.google.common.collect.HashBiMap.forEach(BiConsumer) HashBiMap.java","183","12"
"com.google.common.collect.ImmutableList.of(Object, Object) ImmutableList.java","183","148"
"mb.nabl2.terms.unification.u.BaseUnifier.isGround(ITerm) BaseUnifier.java","181","0"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier.isGround(ITerm) BaseUniDisunifier.java","181","0"
"io.usethesource.capsule.core.PersistentTrieSet$TransientTrieSet.freeze() PersistentTrieSet.java","181","151"
"com.google.common.collect.HashBiMap.create() HashBiMap.java","180","142"
"io.usethesource.capsule.core.AbstractTrieSetMultimap.hashCode(MultimapNode) AbstractTrieSetMultimap.java","180","11"
"io.usethesource.capsule.core.AbstractTrieSetMultimap.hashCode() AbstractTrieSetMultimap.java","180","0"
"org.metaborg.util.collection.HashTrieRelation2$Immutable.hashCode() HashTrieRelation2.java","180","0"
"mb.p_raffrayi.actors.impl.Actor.doStart(IActorInternal, Function1) Actor.java","180","0"
"mb.p_raffrayi.actors.impl.Actor.lambda$2(IActorInternal, Function1) Actor.java","180","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$445.dispatch()","180","0"
"org.metaborg.util.future.ICompletable.completeExceptionally(Throwable) ICompletable.java","178","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.<init>(PersistentTrieSet) PersistentTrieSet.java","178","145"
"mb.p_raffrayi.impl.WaitForGraph.isWaitingFor(Object) WaitForGraph.java","175","0"
"mb.statix.constraints.Constraints$1.caseConj(CConj) Constraints.java","173","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.remove(ITermVar) PersistentSubstitution.java","172","10"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.payloadArity() PersistentTrieMap.java","172","172"
"com.google.common.collect.HashMultiset.remove(Object, int) HashMultiset.java","172","77"
"mb.nabl2.terms.matching.TermPattern$P.fromTerm(ITerm, Predicate1) TermPattern.java","171","46"
"mb.statix.spec.RuleUtil.lambda$12(PreSolvedConstraint, MultiSet$Transient, ITerm) RuleUtil.java","171","0"
"mb.statix.spec.RuleUtil$$Lambda$880.apply(Object)","171","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.lambda$0(Map$Transient, MultiSet$Transient, ITermVar, ITerm) PersistentSubstitution.java","171","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable$$Lambda$618.accept(Object, Object)","171","0"
"mb.p_raffrayi.impl.AbstractUnit.releaseDelays(Object, EdgeOrData) AbstractUnit.java","170","15"
"io.usethesource.capsule.core.trie.SetNodeResult.unchanged() SetNodeResult.java","169","127"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.payloadArity() PersistentTrieSet.java","169","132"
"mb.statix.spec.PreSolvedConstraint.toConstraint() PreSolvedConstraint.java","169","0"
"com.google.common.collect.ImmutableList.of(Object) ImmutableList.java","166","166"
"mb.statix.constraints.CTrue.matchOrThrow(IConstraint$CheckedCases) CTrue.java","165","14"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$TransientMapKeyIterator.<init>(PersistentTrieMap$TransientTrieMap) PersistentTrieMap.java","165","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$642.apply(Object, Object)","165","1"
"mb.nabl2.terms.build.AAppl2Term.hashCode() AAppl2Term.java","164","48"
"mb.nabl2.terms.matching.Pattern.lambda$3(VarProvider, Optional) Pattern.java","164","0"
"mb.nabl2.terms.matching.Pattern.lambda$4(VarProvider) Pattern.java","164","0"
"mb.nabl2.terms.matching.Pattern$$Lambda$769.apply(Object)","164","0"
"mb.nabl2.terms.matching.Pattern$$Lambda$808.get()","164","0"
"mb.nabl2.terms.matching.VarProvider$1.freshWld() VarProvider.java","164","0"
"mb.statix.spec.ApplyRelaxed.lambda$1(FreshVars) ApplyRelaxed.java","164","0"
"mb.statix.spec.ApplyRelaxed$$Lambda$559.apply()","164","0"
"mb.nabl2.terms.build.AAppl1Term.equals(Object) AAppl1Term.java","164","6"
"mb.statix.concurrent.GroupTypeChecker.run(IIncrementalTypeCheckerContext, List) GroupTypeChecker.java","163","0"
"mb.p_raffrayi.actors.impl.Actor._return(IActorInternal, Method, ICompletable, Object, Throwable) Actor.java","163","0"
"mb.p_raffrayi.actors.impl.Actor.lambda$12(Action2, Object, Throwable) Actor.java","163","0"
"mb.p_raffrayi.actors.impl.Actor.lambda$7(IActorInternal, Method, ICompletableFuture, Object, Throwable) Actor.java","163","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$448.apply(Object, Object)","163","0"
"mb.nabl2.terms.build.AbstractApplTerm.isGround() AbstractApplTerm.java","163","119"
"mb.nabl2.terms.build.AbstractApplTerm.equals(Object) AbstractApplTerm.java","163","27"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.getKeyHash(int) PersistentTrieSet.java","163","109"
"mb.statix.solver.completeness.CompletenessUtil$$Lambda$338.apply(Object)","163","5"
"mb.scopegraph.oopsla20.reference.EdgeOrData$Edge.equals(Object) EdgeOrData.java","162","34"
"mb.statix.spec.ARule.freeVars() ARule.java","162","11"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.lambda$8(ICancel, Tuple2) ResolutionInterpreter.java","161","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1$$Lambda$1077.apply(Object)","161","0"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.nodeOf(AtomicReference, int, int, Object[]) PersistentTrieMap.java","161","37"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$645.get$Lambda(PersistentUnifier$Immutable$Unify, ITerm)","161","51"
"mb.nabl2.terms.build.AAppl1Term.hashCode() AAppl1Term.java","161","7"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier$Transient.findRecursive(ITerm) BaseUniDisunifier.java","161","0"
"com.google.common.collect.ImmutableList.builderWithExpectedSize(int) ImmutableList.java","161","143"
