"Method","Time (ms)","Own Time (ms)"
"mb.nabl2.terms.build.ITermBuild.newTuple(Iterable, IAttachments) ITermBuild.java","431","15"
"com.google.common.collect.ImmutableSet$Builder.build() ImmutableSet.java","431","431"
"mb.nabl2.terms.build.Appl1Term.getOp() Appl1Term.java","431","431"
"org.metaborg.util.collection.MultiSet$Transient.add(Object) MultiSet.java","430","12"
"mb.nabl2.terms.Terms$CaseBuilder.<init>() Terms.java","428","402"
"java.util.Collection.stream() Collection.java","427","427"
"java.util.concurrent.ForkJoinPool.execute(Runnable) ForkJoinPool.java","423","423"
"org.metaborg.util.future.Futures.reduce(Object, Iterator, CheckedFunction2) Futures.java","422","16"
"mb.p_raffrayi.impl.AbstractUnit.isWaitingFor(IWaitFor) AbstractUnit.java","422","180"
"com.google.common.collect.AbstractIndexedListIterator.next() AbstractIndexedListIterator.java","420","420"
"mb.statix.solver.query.QueryFilter.apply(ISubstitution$Immutable) QueryFilter.java","418","0"
"mb.p_raffrayi.impl.AbstractUnit.waitFor(IWaitFor, IProcess) AbstractUnit.java","417","20"
"mb.p_raffrayi.ITypeCheckerContext$1.query(Object, LabelWf, LabelOrder, DataWf, DataLeq, DataWf, DataLeq) ITypeCheckerContext.java","417","0"
"java.util.Optional.ifPresent(Consumer) Optional.java","415","0"
"mb.statix.constraints.CUser.apply(ISubstitution$Immutable) CUser.java","413","24"
"io.usethesource.capsule.core.PersistentTrieMap$3.iterator() PersistentTrieMap.java","408","0"
"io.usethesource.capsule.core.PersistentTrieMap$3$1.<init>(PersistentTrieMap$3) PersistentTrieMap.java","408","67"
"mb.statix.solver.completeness.Completeness$Immutable.removeAll(Iterable, IUnifier) Completeness.java","407","0"
"org.metaborg.util.collection.MultiSet.count(Object) MultiSet.java","404","10"
"java.lang.Object.hashCode() Object.java (native)","402","402"
"io.usethesource.capsule.core.PersistentTrieMap$BitmapIndexedMapNode.getKey(int) PersistentTrieMap.java","401","378"
"org.metaborg.util.future.AggregateFuture.whenComplete(CheckedAction2) AggregateFuture.java","399","15"
"mb.p_raffrayi.impl.WaitForGraph.waitFor(Object, Object) WaitForGraph.java","397","54"
"mb.statix.solver.completeness.Completeness$Immutable.melt() Completeness.java","395","37"
"org.metaborg.util.future.CompletableFuture.thenCompose(CheckedFunction1) CompletableFuture.java","394","65"
"mb.nabl2.terms.build.TermBuild$B.newVar(String, String, IAttachments) TermBuild.java","389","23"
"java.util.stream.ReduceOps$3ReducingSink.begin(long) ReduceOps.java","389","203"
"com.google.common.collect.HashMultimap.put(Object, Object) HashMultimap.java","387","331"
"mb.statix.spec.RuleUtil.lambda$9(FreshVars, Optional) RuleUtil.java","386","0"
"mb.statix.spec.RuleUtil$$Lambda$866.apply(Object)","386","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.removeRangeVar(ITermVar, int) PersistentUnifier.java","379","0"
"io.usethesource.capsule.core.PersistentTrieSet$TransientTrieSet.__insertEquivalent(Object, EqualityComparator) PersistentTrieSet.java","377","0"
"java.util.ArrayList.<init>() ArrayList.java","377","346"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.getTerm(ITermVar) PersistentUnifier.java","376","26"
"com.google.common.collect.HashMultiset.count(Object) HashMultiset.java","376","317"
"mb.statix.constraints.CUser.apply(ISubstitution$Immutable) CUser.java","375","2"
"java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[]) MethodHandleNatives.java","373","373"
"mb.statix.spec.RuleUtil$$Lambda$877.apply(Object)","371","30"
"mb.scopegraph.oopsla20.reference.Env.iterator() Env.java","368","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__insertAll(Set) PersistentTrieSet.java","367","18"
"mb.nabl2.terms.substitution.PersistentSubstitution.apply(IListTerm) PersistentSubstitution.java","367","0"
"mb.nabl2.terms.substitution.PersistentSubstitution.lambda$1(IListTerm) PersistentSubstitution.java","367","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$$Lambda$515.apply(Object)","367","0"
"mb.statix.spec.PreSolvedConstraint.lambda$13(IUniDisunifier$Transient, Predicate1, Collection, IConstraint, Set, ICompleteness$Transient, Map, CEqual) PreSolvedConstraint.java","366","10"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.freeze() PersistentTrieMap.java","366","288"
"mb.statix.solver.persistent.SolverResult.<init>(Spec, IState$Immutable, SolverTracer$IResult, Map, Map, Map, Iterable, Iterable, ICompleteness$Immutable) SolverResult.java","366","0"
"mb.statix.solver.persistent.SolverResult.of(Spec, IState$Immutable, SolverTracer$IResult, Map, Map, Map, Iterable, Iterable, ICompleteness$Immutable) SolverResult.java","366","0"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$959.apply(Object)","364","6"
"java.util.HashMap.removeNode(int, Object, Object, boolean, boolean) HashMap.java","361","361"
"com.google.common.collect.ImmutableSet$Builder.addAll(Iterable) ImmutableSet.java","361","256"
"mb.nabl2.terms.build.ATermVar.visitVars(Action1) ATermVar.java","360","45"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$81.apply(Object)","358","23"
"mb.p_raffrayi.impl.AbstractUnit$1.lambda$8(Object, Object, Unit) AbstractUnit.java","357","6"
"mb.statix.solver.store.BaseConstraintStore.delayed() BaseConstraintStore.java","357","0"
"mb.statix.constraints.Constraints$1.caseEqual(CEqual) Constraints.java","356","0"
"mb.statix.spec.PreSolvedConstraint$$Lambda$849.apply(Object)","356","0"
"mb.nabl2.terms.matching.ConsPattern.matchTerm(ITerm, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) ConsPattern.java","355","0"
"mb.statix.constraints.CCompiledQuery.unsafeApply(ISubstitution$Immutable) CCompiledQuery.java","355","34"
"mb.statix.constraints.CExists.freeVars() CExists.java","355","26"
"mb.nabl2.terms.matching.TermPattern$P.newTuple(Iterable) TermPattern.java","353","30"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$711.match(ITerm, IUnifier)","353","8"
"mb.statix.concurrent.util.VarIndexedCollection.put(Object, Iterable, IUnifier) VarIndexedCollection.java","352","0"
"mb.statix.spec.PreSolvedConstraint.extern(Iterable) PreSolvedConstraint.java","352","0"
"mb.scopegraph.ecoop21.NameResolution.lambda$18(Ref, ICancel, Env$Builder, Env, Unit, ResolutionPath) NameResolution.java","351","217"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$981.apply(Object, Object)","351","0"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.nodeArity() PersistentTrieSet.java","350","289"
"mb.nabl2.terms.build.AAppl0Term.equals(Object) AAppl0Term.java","349","12"
"org.metaborg.util.collection.HashTrieRelation3$Transient.put(Object, Object, Object) HashTrieRelation3.java","346","39"
"java.util.stream.StreamSupport.stream(Spliterator, boolean) StreamSupport.java","346","336"
"mb.nabl2.terms.matching.TermMatch$M.lambda$84(Function1, ITerm, IUnifier) TermMatch.java","344","0"
"mb.nabl2.terms.substitution.PersistentSubstitution.lambda$7(IConsTerm) PersistentSubstitution.java","343","32"
"mb.nabl2.terms.substitution.PersistentSubstitution$$Lambda$759.apply(Object)","343","0"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.dataIndex(int) PersistentTrieMap.java","342","295"
"mb.statix.concurrent.StatixSolver.lambda$26(ITermVar) StatixSolver.java","341","0"
"mb.statix.concurrent.StatixSolver$$Lambda$635.test(Object)","341","0"
"io.usethesource.capsule.core.PersistentTrieMap.entryIterator() PersistentTrieMap.java","340","25"
"mb.statix.spec.RuleUtil.lambda$12(PreSolvedConstraint, MultiSet$Transient, ITerm) RuleUtil.java","340","0"
"mb.p_raffrayi.impl.AbstractUnit.granted(IWaitFor, IActorRef) AbstractUnit.java","340","0"
"mb.p_raffrayi.impl.AbstractUnit.granted(IWaitFor, IProcess) AbstractUnit.java","340","5"
"mb.statix.constraints.CConj.match(IConstraint$Cases) CConj.java","339","9"
"java.lang.String.hashCode() String.java","335","335"
"mb.nabl2.terms.matching.TermMatch$M.lambda$39(Function3, String, TermMatch$IMatcher, IUnifier, TermMatch$IMatcher, IApplTerm) TermMatch.java","334","27"
"mb.p_raffrayi.impl.WaitForGraph.granted(Object, Object) WaitForGraph.java","334","58"
"mb.statix.spec.RuleUtil.lambda$10(FreshVars) RuleUtil.java","329","0"
"mb.statix.spec.RuleUtil$$Lambda$868.get()","329","0"
"org.metaborg.util.future.AggregateFuture$$Lambda$471.accept(Object)","329","116"
"mb.statix.concurrent.StatixSolver.lambda$22(CriticalEdge) StatixSolver.java","329","0"
"mb.statix.concurrent.StatixSolver$$Lambda$633.apply()","329","0"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.getNode(int) PersistentTrieSet.java","328","72"
"com.google.common.collect.HashMultiset.contains(Object) HashMultiset.java","327","273"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.<init>(PersistentUnifier$Immutable, ITerm, ITerm, Predicate1) PersistentUnifier.java","327","39"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.<init>(PersistentUnifier$Immutable, Iterable, Predicate1) PersistentUnifier.java","325","0"
"mb.nabl2.terms.build.AAppl0Term.matchOrThrow(ITerm$CheckedCases) AAppl0Term.java","325","26"
"mb.statix.concurrent.StatixSolver$1.caseTermId(CAstId) StatixSolver.java","324","37"
"mb.statix.constraints.CAstId.matchOrThrow(IConstraint$CheckedCases) CAstId.java","324","0"
"mb.statix.concurrent.StatixSolver.closeGroundEdge(CriticalEdge) StatixSolver.java","324","8"
"java.util.concurrent.ConcurrentLinkedDeque.poll() ConcurrentLinkedDeque.java","323","313"
"mb.nabl2.terms.matching.TermPattern$P.newTuple(Iterable, IAttachments) TermPattern.java","322","0"
"mb.nabl2.terms.matching.TermMatch$M.lambda$83(Function1, IListTerm) TermMatch.java","322","0"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$707.apply(Object)","322","0"
"io.usethesource.capsule.core.PersistentTrieMap$MapEntryIterator.<init>(PersistentTrieMap$AbstractMapNode) PersistentTrieMap.java","322","81"
"com.google.common.collect.ImmutableSet$Builder.add(Object) ImmutableSet.java","322","247"
"mb.statix.constraints.CCompiledQuery.unsafeApply(ISubstitution$Immutable) CCompiledQuery.java","321","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.retainAll(Iterable) PersistentSubstitution.java","320","4"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.of(Map) PersistentSubstitution.java","320","6"
"mb.nabl2.terms.substitution.Renaming.asSubstitution() Renaming.java","320","0"
"mb.statix.concurrent.StatixSolver$1.caseTermProperty(CAstProperty) StatixSolver.java","319","0"
"mb.statix.concurrent.StatixSolver$1.caseTermProperty(CAstProperty) StatixSolver.java","319","0"
"mb.statix.constraints.CAstProperty.matchOrThrow(IConstraint$CheckedCases) CAstProperty.java","319","0"
"org.metaborg.util.collection.MultiSet$Transient.remove(Object, int) MultiSet.java","317","4"
"ch.qos.logback.classic.Logger.isDebugEnabled() Logger.java","314","290"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.removeAll(Iterable) PersistentSubstitution.java","313","21"
"com.google.common.collect.HashBiMap.forEach(BiConsumer) HashBiMap.java","313","0"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.lambda$0(Map$Transient, MultiSet$Transient, ITermVar, ITerm) PersistentSubstitution.java","313","1"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable$$Lambda$617.accept(Object, Object)","313","0"
"com.google.common.collect.Sets$SetView.immutableCopy() Sets.java","311","116"
"mb.nabl2.terms.matching.TermPattern$P.fromTerm(ITerm, Predicate1) TermPattern.java","311","0"
"com.google.common.collect.AbstractIterator.hasNext() AbstractIterator.java","308","170"
"io.usethesource.capsule.core.AbstractTransientTrieSetMultimap.__insert(Object, Object) AbstractTransientTrieSetMultimap.java","307","0"
"io.usethesource.capsule.core.AbstractTransientTrieSetMultimap.__insert(Object, Set$Immutable) AbstractTransientTrieSetMultimap.java","307","10"
"mb.p_raffrayi.impl.TypeCheckerUnit.freshScope(String, Iterable, boolean, boolean) TypeCheckerUnit.java","306","0"
"mb.p_raffrayi.impl.AbstractUnit.tryFinish() AbstractUnit.java","305","18"
"mb.statix.constraints.CExists.doVisitFreeVars(Action1) CExists.java","302","26"
"io.usethesource.capsule.core.PersistentTrieMap$AbstractMapIterator.<init>(PersistentTrieMap$AbstractMapNode) PersistentTrieMap.java","302","130"
"mb.statix.constraints.CConj.doVisitFreeVars(Action1) CConj.java","301","13"
"mb.p_raffrayi.impl.AbstractUnit.doFreshScope(String, Iterable, boolean, boolean) AbstractUnit.java","300","0"
"mb.nabl2.terms.matching.ConsPattern.lambda$0(ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs, IListTerm) ConsPattern.java","300","5"
"mb.nabl2.terms.matching.ConsPattern$$Lambda$735.apply(Object)","300","0"
"mb.statix.concurrent.StatixSolver$1.caseTermId(CAstId) StatixSolver.java","299","0"
"com.google.common.collect.ImmutableList.forEach(Consumer) ImmutableList.java","297","84"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$CompactSetMultimapNode.inserted(AtomicReference, Object, Object, int, int, MultimapResult, EqualityComparator) PersistentTrieSetMultimap.java","294","5"
"java.util.Spliterators$IteratorSpliterator.characteristics() Spliterators.java","294","294"
"mb.statix.solver.query.QueryMin.apply(ISubstitution$Immutable) QueryMin.java","293","0"
"mb.statix.constraints.CConj.visitFreeVars(Action1) CConj.java","291","0"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$353.match(ITerm, IUnifier)","290","48"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.retainAll(Iterable) PersistentSubstitution.java","290","0"
"mb.nabl2.terms.unification.u.BaseUnifier.findListTermRecursive(IListTerm, Set, Map) BaseUnifier.java","290","14"
"mb.nabl2.terms.unification.u.BaseUnifier.lambda$3(Set, Map, IListTerm) BaseUnifier.java","290","0"
"mb.nabl2.terms.unification.u.BaseUnifier$$Lambda$1005.apply(Object)","290","7"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$CompactSetMultimapNode.inserted(AtomicReference, Object, Set$Immutable, int, int, MultimapResult, EqualityComparator) PersistentTrieSetMultimap.java","289","0"
"mb.statix.solver.completeness.Completeness$Transient.addAll(ICompleteness$Immutable, IUnifier) Completeness.java","288","12"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.removeAll(Iterable) PersistentUniDisunifier.java","285","58"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.dataIndex(int) PersistentTrieSet.java","285","267"
"mb.nabl2.terms.substitution.PersistentSubstitution$$Lambda$570.apply(Object)","280","18"
"mb.statix.spec.ARule.freeVars() ARule.java","280","17"
"mb.statix.solver.persistent.Solver.entailed(IState$Immutable, SolverResult, IDebugContext) Solver.java","279","17"
"mb.statix.scopegraph.AScope.hashCode() AScope.java","279","78"
"java.util.concurrent.ConcurrentLinkedDeque.unlink(ConcurrentLinkedDeque$Node) ConcurrentLinkedDeque.java","277","277"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.hasNodes() PersistentTrieSet.java","275","252"
"mb.statix.solver.completeness.ICompleteness$Transient$$Lambda$663.accept(Object)","274","58"
"mb.p_raffrayi.impl.AbstractUnit.doPrepareScope(Object, Iterable, boolean, boolean) AbstractUnit.java","274","23"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier$Transient.unify(ITerm, ITerm, Predicate1) BaseUniDisunifier.java","274","0"
"mb.nabl2.terms.ListTerms$CaseBuilder$1.caseCons(IConsTerm) ListTerms.java","269","75"
"mb.p_raffrayi.impl.AbstractUnit.doCloseLabel(IActorRef, Object, EdgeOrData) AbstractUnit.java","269","0"
"mb.nabl2.terms.matching.Transform$T.lambda$0(PartialFunction1, ITerm) Transform.java","268","0"
"mb.nabl2.terms.matching.Transform$T$$Lambda$567.apply(Object)","268","0"
"mb.statix.concurrent.StatixLibrary.substituteScopes(ITerm, Map) StatixLibrary.java","268","0"
"mb.scopegraph.oopsla20.terms.newPath.ResolutionPath.hashCode() ResolutionPath.java","268","12"
"mb.statix.concurrent.AbstractTypeChecker.snapshot() AbstractTypeChecker.java","266","0"
"mb.statix.concurrent.AbstractTypeChecker.snapshot() AbstractTypeChecker.java","266","0"
"mb.statix.concurrent.StatixSolver.snapshot() StatixSolver.java","266","0"
"com.google.common.collect.ImmutableList.hashCode() ImmutableList.java","265","132"
"java.lang.invoke.LambdaForm$MH.2073599637.linkToTargetMethod(Object, int, Object) LambdaForm$MH","265","33"
"mb.statix.spec.ARule.doVisitFreeVars(Action1) ARule.java","262","0"
"mb.p_raffrayi.actors.deadlock.ChandyMisraHaas.query(Object, int, Object) ChandyMisraHaas.java","262","62"
"mb.p_raffrayi.impl.AbstractUnit._deadlockQuery(IProcess, int, IProcess) AbstractUnit.java","262","0"
"mb.statix.solver.query.QueryMin.hashCode() QueryMin.java","261","0"
"mb.nabl2.terms.matching.TermPattern$P$$Lambda$881.apply(Object)","260","43"
"mb.statix.solver.persistent.Solver.entailed(IState$Immutable, IState$Immutable, Delay, IDebugContext) Solver.java","259","113"
"mb.p_raffrayi.impl.UnitResult$Builder.addAllScopes(Iterable) UnitResult.java","259","0"
"mb.p_raffrayi.impl.UnitResult$Builder.scopes(Iterable) UnitResult.java","259","0"
"mb.scopegraph.relations.impl.Relation$Immutable.hashCode() Relation.java","259","7"
"mb.statix.concurrent.StatixSolver$$Lambda$1123.apply(Object)","258","2"
"mb.statix.solver.completeness.Completeness$Immutable.melt() Completeness.java","258","0"
"org.metaborg.util.future.Futures$$Lambda$1079.apply(Object)","257","1"
"mb.statix.concurrent.StatixSolver.lambda$10(IState$Immutable, IDebugContext, IConstraint, SolverResult) StatixSolver.java","256","15"
"org.metaborg.util.future.Futures.lambda$0(Iterator, CheckedFunction2, Object) Futures.java","255","0"
"mb.statix.solver.store.BaseConstraintStore.delay(IConstraint, Delay) BaseConstraintStore.java","254","0"
"java.util.ArrayList.add(Object) ArrayList.java","253","253"
"mb.statix.solver.store.BaseConstraintStore.activateFromVars(Iterable, IDebugContext) BaseConstraintStore.java","253","32"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.remove(ITermVar) PersistentSubstitution.java","251","5"
"com.google.common.collect.ImmutableList.of(Object, Object) ImmutableList.java","251","233"
"mb.nabl2.terms.build.AAppl2Term.getArgs() AAppl2Term.java","251","0"
"org.metaborg.util.collection.HashTrieRelation2$Immutable.hashCode() HashTrieRelation2.java","251","32"
"mb.nabl2.terms.build.ITermBuild.newVar(String, String) ITermBuild.java","247","0"
"java.util.Optional.of(Object) Optional.java","245","159"
"mb.nabl2.terms.build.AAppl3Term.matchOrThrow(ITerm$CheckedCases) AAppl3Term.java","245","56"
"org.metaborg.util.future.ICompletable.completeExceptionally(Throwable) ICompletable.java","245","0"
"mb.nabl2.terms.matching.TermMatch$M.lambda$159(Function1, ITerm, IUnifier) TermMatch.java","241","5"
"mb.p_raffrayi.impl.WaitForGraph.isWaitingFor(Object) WaitForGraph.java","241","45"
"mb.statix.concurrent.StatixSolver$$Lambda$755.apply(Object)","240","8"
"mb.statix.spec.PreSolvedConstraint.toConstraint() PreSolvedConstraint.java","236","10"
"mb.nabl2.terms.matching.StringPattern.matchTerm(ITerm, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) StringPattern.java","235","17"
"mb.statix.concurrent.StatixSolver.lambda$2(ITermVar) StatixSolver.java","232","46"
"mb.statix.constraints.CEqual.apply(ISubstitution$Immutable) CEqual.java","232","7"
"java.lang.Iterable.forEach(Consumer) Iterable.java","231","45"
"mb.nabl2.terms.unification.ud.Diseq.<init>(Set$Immutable, IUnifier$Immutable) Diseq.java","230","76"
"mb.nabl2.terms.build.AConsTerm.getVars() AConsTerm.java","228","24"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$RemoveAll.<init>(PersistentUnifier$Immutable, Iterable) PersistentUnifier.java","228","6"
"mb.p_raffrayi.nameresolution.tracing.ExtQuerySet$Builder.build() ExtQuerySet.java","228","0"
"mb.nabl2.util.collections.ConcurrentWeakCache.getOrPut(Object, Object) ConcurrentWeakCache.java","226","70"
"io.usethesource.capsule.core.PersistentTrieMap$$Lambda$355.equals(Object, Object)","226","51"
"mb.statix.constraints.CEqual.apply(ISubstitution$Immutable) CEqual.java","225","0"
"mb.nabl2.terms.build.AbstractApplTerm$$Lambda$316.apply(Object)","224","0"
"java.lang.Boolean.valueOf(boolean) Boolean.java","224","119"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier$Transient.unify(Iterable, Predicate1) BaseUniDisunifier.java","223","0"
"mb.nabl2.terms.unification.ud.IUniDisunifier$Transient.unify(Iterable) IUniDisunifier.java","223","0"
"org.metaborg.util.collection.MultiSetMap$Immutable.melt() MultiSetMap.java","223","64"
"mb.nabl2.terms.Terms$3.caseAppl(IApplTerm) Terms.java","223","15"
"mb.p_raffrayi.actors.impl.Actor.initThread() Actor.java","222","0"
"io.usethesource.capsule.core.PersistentTrieSet.__removeAll(Set) PersistentTrieSet.java","222","14"
"mb.nabl2.terms.matching.Transform$T.lambda$1(PartialFunction1, ITerm) Transform.java","221","2"
"mb.nabl2.terms.matching.Transform$T$$Lambda$568.get()","221","0"
"mb.nabl2.terms.Terms$3.caseList(IListTerm) Terms.java","220","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$1(ITerm, IListTerm) PersistentUnifier.java","220","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$647.apply(Object)","220","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.closeEdge(Object, Object) TypeCheckerUnit.java","220","0"
"mb.statix.concurrent.StatixSolver.lambda$25(Scope, ITerm) StatixSolver.java","220","0"
"mb.statix.concurrent.StatixSolver$$Lambda$671.apply(Object)","220","0"
"io.usethesource.capsule.core.AbstractTrieSetMultimap.hashCode(MultimapNode) AbstractTrieSetMultimap.java","218","13"
"mb.nabl2.terms.matching.Transform$T$$Lambda$572.apply(Object)","218","32"
"mb.statix.spec.ARule.unsafeApply(ISubstitution$Immutable) ARule.java","215","39"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$CompactSetMultimapNode.insertedSingle(AtomicReference, Object, Object, int, int, MultimapResult, EqualityComparator) PersistentTrieSetMultimap.java","215","18"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$9(IListTerm, IListTerm) PersistentUnifier.java","214","28"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$807.apply(Object)","214","0"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.index(int, int, int) PersistentTrieMap.java","214","154"
"mb.statix.concurrent.StatixSolver.isRigid(ITermVar, IState) StatixSolver.java","213","0"
"mb.statix.concurrent.StatixSolver$1.lambda$0(ITermVar) StatixSolver.java","213","0"
"mb.statix.concurrent.StatixSolver$1$$Lambda$641.test(Object)","213","0"
"org.metaborg.util.future.AggregateFuture.lambda$4(ArrayList, IFuture) AggregateFuture.java","213","4"
"mb.nabl2.terms.substitution.Renaming.builder() Renaming.java","211","0"
"org.metaborg.util.iterators.Iterables2.stream(Iterable) Iterables2.java","210","49"
"mb.nabl2.terms.unification.u.BaseUnifier$$Lambda$1054.apply(Object)","210","31"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap$$Lambda$364.equals(Object, Object)","208","164"
"mb.scopegraph.oopsla20.terms.newPath.ScopePath.hashCode() ScopePath.java","208","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$0(ITerm, IApplTerm) PersistentUnifier.java","207","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$645.apply(Object)","207","0"
"io.usethesource.capsule.core.PersistentTrieSet.__removeAllEquivalent(Set, EqualityComparator) PersistentTrieSet.java","207","0"
"com.google.common.collect.ImmutableSet.copyOf(Iterable) ImmutableSet.java","206","192"
"io.usethesource.capsule.core.AbstractTrieSetMultimap.hashCode() AbstractTrieSetMultimap.java","205","0"
"mb.statix.constraints.CConj.cause() CConj.java","204","51"
"mb.nabl2.terms.build.AAppl4Term.match(ITerm$Cases) AAppl4Term.java","203","0"
"mb.statix.constraints.CUser.visitFreeVars(Action1) CUser.java","203","15"
"mb.p_raffrayi.impl.tokens.CloseLabel.of(IActorRef, Object, EdgeOrData) CloseLabel.java","202","45"
"mb.nabl2.terms.substitution.PersistentSubstitution$Transient.freeze() PersistentSubstitution.java","202","131"
"mb.statix.solver.completeness.ICompleteness$Transient.lambda$4(IUnifier, ITermVar) ICompleteness.java","199","21"
"mb.p_raffrayi.impl.AbstractUnit.canAnswer(Object) AbstractUnit.java","199","5"
"org.metaborg.util.log.LoggerUtils.setContextId(String) LoggerUtils.java","198","3"
"com.google.common.collect.Iterables.getOnlyElement(Iterable) Iterables.java","197","197"
"mb.nabl2.terms.matching.TermMatch$IMatcher.lambda$0(Function, ITerm, IUnifier) TermMatch.java","196","0"
"mb.nabl2.terms.matching.TermMatch$IMatcher$$Lambda$38.match(ITerm, IUnifier)","196","0"
"mb.statix.concurrent.StatixLibrary$$Lambda$564.apply(Object)","196","0"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.payloadArity() PersistentTrieSet.java","195","161"
"mb.statix.concurrent.StatixSolver$1.caseTrue(CTrue) StatixSolver.java","195","4"
"mb.statix.concurrent.StatixSolver$1.caseTrue(CTrue) StatixSolver.java","195","0"
"mb.statix.constraints.CTrue.matchOrThrow(IConstraint$CheckedCases) CTrue.java","195","0"
"org.slf4j.MDC.put(String, String) MDC.java","195","190"
"org.metaborg.util.log.LoggerUtils.logger(Class) LoggerUtils.java","194","0"
"org.metaborg.util.log.Slf4jLoggerProvider.getLogger(Class) Slf4jLoggerProvider.java","194","0"
"mb.nabl2.terms.build.AAppl1Term.getArity() AAppl1Term.java","193","193"
"mb.nabl2.terms.build.AbstractApplTerm.isGround() AbstractApplTerm.java","192","130"
"mb.p_raffrayi.impl.AbstractUnit.isOwner(Object) AbstractUnit.java","192","136"
"io.usethesource.capsule.factory.DefaultSetFactory$$Lambda$7.get$Lambda(DefaultSetFactory)","192","53"
"mb.scopegraph.oopsla20.terms.newPath.ScopePath$Path.hashCode() ScopePath.java","192","37"
"com.google.common.collect.Lists.newArrayList() Lists.java","192","192"
"mb.p_raffrayi.impl.AbstractUnit.releaseDelays(Object, EdgeOrData) AbstractUnit.java","191","3"
"mb.statix.constraints.CUser.doVisitFreeVars(Action1) CUser.java","187","0"
"mb.nabl2.terms.matching.Transform$T.lambda$2(PartialFunction1, IApplTerm) Transform.java","186","0"
"mb.nabl2.terms.matching.Transform$T$$Lambda$578.apply(Object)","186","1"
"mb.statix.constraints.Constraints.freeVars(Iterable) Constraints.java","186","0"
"mb.statix.concurrent.GroupTypeChecker.run(IIncrementalTypeCheckerContext, List) GroupTypeChecker.java","186","0"
"java.lang.invoke.LambdaForm$MH.303563356.linkToTargetMethod(Object) LambdaForm$MH","185","185"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyLists(IListTerm, IListTerm) PersistentUnifier.java","185","0"
"io.usethesource.capsule.util.stream.CapsuleCollectors$$Lambda$331.get()","185","18"
"mb.scopegraph.ecoop21.NameResolution$$Lambda$935.apply(Object, Object)","184","32"
"mb.nabl2.terms.substitution.PersistentSubstitution$Immutable.melt() PersistentSubstitution.java","184","58"
"io.usethesource.capsule.core.PersistentTrieMap$3$1.hasNext() PersistentTrieMap.java","182","15"
"mb.statix.constraints.CFalse.unsafeApply(ISubstitution$Immutable) CFalse.java","180","0"
