"Method","Time (ms)","Own Time (ms)"
"mb.statix.constraints.CExists.matchOrThrow(IConstraint$CheckedCases) CExists.java","50599","18"
"mb.statix.concurrent.StatixSolver.solve(Iterable) StatixSolver.java","48282","8"
"mb.p_raffrayi.impl.TypeCheckerUnit._start(List) TypeCheckerUnit.java","43567","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.runIncremental(Function1, Function1, Function2, Function2) TypeCheckerUnit.java","43476","0"
"mb.statix.concurrent.AbstractTypeChecker.runSolver(ITypeCheckerContext, Optional, Optional, List) AbstractTypeChecker.java","43458","0"
"mb.statix.concurrent.AbstractTypeChecker.runSolver(ITypeCheckerContext, Optional, List) AbstractTypeChecker.java","43458","0"
"mb.statix.concurrent.UnitTypeChecker.run(IIncrementalTypeCheckerContext, List) UnitTypeChecker.java","43247","0"
"mb.statix.concurrent.UnitTypeChecker.lambda$0(IIncrementalTypeCheckerContext, List, Optional) UnitTypeChecker.java","43230","0"
"mb.statix.concurrent.UnitTypeChecker$$Lambda$697.apply(Object)","43230","0"
"mb.p_raffrayi.impl.AbstractUnit.doQuery(IActorRef, IActorRef, boolean, ScopePath, IQuery, DataWf, DataLeq, DataWf, DataLeq) AbstractUnit.java","42114","67"
"mb.statix.spec.RuleUtil.apply(IUniDisunifier$Immutable, Rule, List, IConstraint, ApplyMode, ApplyMode$Safety) RuleUtil.java","35600","30"
"mb.statix.concurrent.StatixSolver$ConstraintDataWFInternal$$Lambda$1027.apply()","31655","12"
"mb.statix.concurrent.StatixSolver$ConstraintDataWFInternal.lambda$0(ITerm, ITypeCheckerContext, ICancel) StatixSolver.java","31643","12704"
"mb.statix.concurrent.StatixSolver$1.caseResolveQuery(IResolveQuery) StatixSolver.java","26662","147"
"mb.statix.concurrent.StatixSolver$1.caseResolveQuery(IResolveQuery) StatixSolver.java","26659","0"
"mb.statix.constraints.IResolveQuery.matchOrThrow(IConstraint$CheckedCases) IResolveQuery.java","26659","0"
"mb.statix.concurrent.StatixSolver.lambda$13(Function0, Object, Throwable) StatixSolver.java","26548","25839"
